key,2025-03-29,2024-12-31,2024-07-10,2024-03-30,2023-12-31
CashAndCashEquivalentsAtCarryingValue,4134000000,4009000000,,,
ShortTermInvestments,1813000000,1561000000,,,
AccountsReceivableNetCurrent,8455000000,8191000000,,,
InventoryNet,5224000000,4978000000,,,
ContractWithCustomerAssetNetCurrent,1366000000,1435000000,,,
OtherAssetsCurrent,2387000000,1964000000,,,
AssetsCurrent,23378000000,22137000000,,,
PropertyPlantAndEquipmentNet,9331000000,9306000000,,,
IntangibleAssetsNetExcludingGoodwill,15323000000,15533000000,,,
OtherAssetsNoncurrent,4516000000,4492000000,,,
Goodwill,46493000000,45853000000,2302000000,,
Assets,6467000000,97321000000,,97095000000,
DebtCurrent,2819000000,2214000000,,,
AccountsPayableCurrent,3049000000,3079000000,,,
EmployeeRelatedLiabilitiesCurrent,1419000000,1988000000,,,
ContractWithCustomerLiabilityCurrent,2866000000,2852000000,,,
OtherLiabilitiesCurrent,3022000000,3199000000,,,
LiabilitiesCurrent,13174000000,13332000000,,,
DeferredIncomeTaxLiabilitiesNet,1041000000,1268000000,,,
OtherLiabilitiesNoncurrent,3971000000,3989000000,,,
LongTermDebtAndCapitalLeaseObligations,31370000000,29061000000,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,128000000,120000000,,119000000,118000000
PreferredStockValue,0,0,,,
CommonStockValue,444000000,444000000,,,
AdditionalPaidInCapitalCommonStock,18111000000,17962000000,,,
RetainedEarningsAccumulatedDeficit,54447000000,53102000000,,,
TreasuryStockCommonValue,21269000000,19226000000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2343000000,-2697000000,,,
StockholdersEquity,49390000000,49584000000,,,
MinorityInterest,-33000000,-33000000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-265000000,-263000000,,45504000000,46724000000
LiabilitiesAndStockholdersEquity,99041000000,97321000000,,,
