key,2025-03-29,2024-12-31,2024-07-10,2024-03-30,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,10846000000,,,10805000000,
CostOfGoodsAndServicesSold,3004000000,,,3201000000,
SellingGeneralAndAdministrativeExpense,592000000,,,585000000,
ResearchAndDevelopmentExpense,13000000,,,17000000,
RestructuringAndOtherCostsIncomeNet,98000000,,,29000000,
CostsAndExpenses,8648000000,,,8682000000,
OperatingIncomeLoss,2269000000,,,2278000000,
InvestmentIncomeInterest,203000000,,,279000000,
InterestExpenseNonoperating,303000000,,,363000000,
OtherNonoperatingIncomeExpense,3000000,,,10000000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1620000000,,,1589000000,
IncomeTaxExpenseBenefit,95000000,,,281000000,
IncomeLossFromEquityMethodInvestments,-14000000,,,23000000,
ProfitLoss,1511000000,,,1331000000,
NetIncomeLossAttributableToNoncontrollingInterest,4000000,,,4000000,
NetIncomeLossAvailableToCommonStockholdersBasic,1507000000,,,1328000000,
EarningsPerShareBasic,3.99,,,3.47,
EarningsPerShareDiluted,3.98,,,3.46,
WeightedAverageNumberOfSharesOutstandingBasic,378000000,,,382000000,
WeightedAverageNumberOfDilutedSharesOutstanding,379000000,,,384000000,
