key,2024,2023,2022,2021,2020
RealEstateInvestmentPropertyAtCost,15994794000,15757456000,15365928000,14352234000,
RealEstateInvestmentPropertyAccumulatedDepreciation,6836920000,6242686000,5762205000,5136589000,
RealEstateHeldForInvestmentNetExcludingRealEstateUnderDevelopmentOrHeldForDisposition,9157874000,9514770000,9603723000,9215645000,
DevelopmentInProcess,,160220000,189809000,388062000,
RealEstateHeldForSaleNetofDepreciation,154463000,81039000,14039000,,
RealEstateInvestmentPropertyNet,9312337000,9756029000,9807571000,9603707000,
CashAndCashEquivalentsAtCarryingValue,1326000,2922000,1193000,967000,1409000
RestrictedCashAndCashEquivalents,34101000,31944000,29001000,27451000,22762000
FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,,,54707000,26860000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVenturesFairValueDisclosure,917483000,952934000,754446000,702461000,
OperatingLeaseRightOfUseAsset,186997000,190619000,194081000,197463000,
OtherAssets,197493000,209969000,197471000,216311000,
Assets,10897586000,11373242000,11038470000,10775220000,
SecuredDebt,1139331000,1277713000,1052281000,1057380000,
UnsecuredDebt,4687634000,4520996000,4435022000,4355407000,
OperatingLeaseLiability,182275000,185836000,189238000,192488000,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,46403000,47107000,37681000,33095000,
InterestPayableCurrentAndNoncurrent,52631000,47710000,46671000,45980000,
AdvanceRent,61592000,50528000,51999000,55441000,
DividendsPayableCurrentAndNoncurrent,151720000,149600000,134213000,124729000,115795000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,115105000,141311000,153220000,136954000,
Liabilities,6436691000,6420801000,6100325000,6001474000,
RedeemableNoncontrollingInterestEquityCommonCarryingAmount,1017355000,961087000,839850000,1299442000,
PreferredStockValue,43192000,44614000,44614000,44764000,
CommonStockValue,3309000,3290000,3290000,3181000,
AdditionalPaidInCapital,7572480000,7493217000,7493423000,6884269000,
AccumulatedDistributionsInExcessOfNetIncome,4179415000,3554892000,3451587000,3485080000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3638000,4914000,8344000,-4261000,
StockholdersEquity,3443205000,3991144000,4098085000,3442874000,
MinorityInterest,335000,210000,210000,31430000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3443540000,3991354000,4098295000,3474304000,44765000
LiabilitiesAndStockholdersEquity,10897586000,11373242000,11038470000,10775220000,
NotesReceivableNet,247849000,228825000,54707000,,
