key,2024,2023,2022,2021,2020
ProfitLoss,95877000,474488000,92579000,160993000,68970000
DepreciationDepletionAndAmortization,695473000,691838000,679572000,619833000,618629000
GainsLossesOnSalesOfInvestmentRealEstate,17300000,100000,25494000,136052000,119277000
IncomeLossFromEquityMethodInvestments,20235000,4693000,4947000,65646000,18844000
ReturnOnInvestmentInEquityMethodInvestments,61315000,15944000,22369000,23269000,20664000
ShareBasedCompensation,32625000,32896000,27505000,22052000,19616000
GainsLossesOnExtinguishmentOfDebt,,,,-42336000,-49190000
OtherOperatingActivitiesCashFlowStatement,27107000,9791000,31835000,19182000,12193000
IncreaseDecreaseInOperatingAssets,31144000,33579000,-9792000,33454000,44670000
IncreaseDecreaseInOperatingLiabilities,-4759000,-2828000,-13140000,11447000,-2155000
NetCashProvidedByUsedInOperatingActivities,876848000,832664000,820071000,663960000,604316000
PaymentsToAcquireBuildings,,17848000,341149000,1244508000,407829000
ProceedsFromSaleOfRealEstateHeldforinvestment,98650000,325767000,40808000,280077000,277886000
PaymentsToDevelopRealEstateAssets,67532000,155875000,198022000,178029000,121240000
PaymentsForCapitalImprovements,249886000,295440000,214833000,156384000,163105000
PaymentsToAcquireFurnitureAndFixtures,21801000,16907000,21180000,10140000,11008000
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,50335000,71395000,201412000,112321000,76073000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,41097000,14399000,81443000,37362000,49342000
PaymentsForDepositsOnPendingAcquisitions,1000000,-1000000,,,-1530000
PaymentsForProceedsFromLoansReceivable,32168000,85310000,75183000,-111690000,7285000
NetCashProvidedByUsedInInvestingActivities,-276351000,-289138000,-929528000,-1272253000,-460842000
RepaymentsOfSecuredDebt,137971000,1244000,1141000,1096000,425839000
ProceedsFromIssuanceOfSecuredDebt,,,,,160930000
RepaymentsOfUnsecuredDebt,15644000,,,300000000,300000000
ProceedsFromIssuanceOfUnsecuredDebt,296929000,,,511552000,959419000
ProceedsFromRepaymentsOfCommercialPaper,-118175000,108075000,80000000,30000000,-110000000
ProceedsFromRepaymentsOfLinesOfCredit,4768000,-23425000,-1531000,1522000,11441000
ProceedsFromIssuanceOfCommonStock,,-551000,629552000,899053000,102234000
PaymentsForRepurchaseOfCommonStock,,25009000,49028000,,19795000
PaymentsOfDividendsMinorityInterest,42798000,35582000,34255000,33663000,32038000
PaymentsOfDividendsPreferredStockAndPreferenceStock,4851000,4770000,4381000,4225000,4217000
PaymentsOfDividendsCommonStock,558482000,539852000,483624000,433780000,419350000
PaymentsOfDebtExtinguishmentCosts,,,,40769000,62645000
ProceedsFromPaymentsForOtherFinancingActivities,-23712000,-16496000,-24359000,-16054000,-12734000
NetCashProvidedByUsedInFinancingActivities,-599936000,-538854000,111233000,612540000,-152594000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,561000,4672000,1776000,4247000,-9120000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,35427000,34866000,30194000,28418000,24171000
InterestPaidNet,192101000,184201000,154911000,136978000,159386000
ProceedsFromLeasePayments,12502000,12502000,12502000,12502000,12502000
IncomeTaxesPaidNet,1044000,1911000,1145000,4778000,1029000
NoncashOrPartNoncashAcquisitionDebtAssumed1,,191737000,,201296000,
EscrowDepositDisbursementsRelatedToPropertyAcquisition1,,,,25000000,
CancellationOfSecuredNoteReceivableRelatedToForeclosure,,,,24869000,
TransferToOtherRealEstate,,,,16425000,14700000
OperatingPartnershipUnitsIssuedForRealEstateNet,,141359000,,48533000,
NotesReceivableCancellation,,,,,2250000
ProvisionForLoanLeaseAndOtherLosses,,,,,2182000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,27561000,28507000,56568000,14578000,23501000
CapitalExpendituresIncurredButNotYetPaid,15188000,39080000,56336000,39856000,31387000
ConversionOfStockAmountConverted1,73196000,18794000,23741000,99932000,12666000
DistributionOfEquitySecuritiesFromUnconsolidatedInvestments,,7749000,18018000,,
DividendsPayableCurrentAndNoncurrent,151720000,149600000,134213000,124729000,115795000
ProceedsFromSaleOfEquitySecuritiesFvNi,4624000,14471000,,,
ContributionOfOperatingPropertiesToUnconsolidatedJointVenture,,258056000,,,
TransferOfPreferredEquityInvestmentToNotesReceivable,,73453000,,,
ProvisionForLoanLossesExpensed,37456000,702000,140000,,
