key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,1663525000,1620658000,1512364000,1284665000,1236096000
RevenueFromContractWithCustomerExcludingAssessedTax,8317000,6843000,5022000,6102000,5069000
Revenues,1671842000,1627501000,1517386000,1290767000,1241165000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,292572000,273736000,250310000,218094000,201944000
RealEstateTaxesAndInsurance,232130000,232152000,221662000,199446000,180450000
PropertyManagementCostsOperating,54065000,52671000,49152000,38540000,35538000
OtherCostAndExpenseOperating,30416000,20222000,17493000,21649000,22762000
DepreciationNonproduction,676068000,676419000,665228000,606648000,608616000
GeneralAndAdministrativeExpense,84305000,69929000,64144000,57541000,49885000
CasualtyRelatedRecoveriesChargesNet,15179000,3138000,9733000,3748000,2131000
OtherDepreciationAndAmortization,19405000,15419000,14344000,13185000,10013000
CostsAndExpenses,1404140000,1343686000,1292066000,1158851000,1111339000
GainsLossesOnSalesOfInvestmentRealEstate,17300000,100000,25494000,136052000,119277000
OperatingIncomeLoss,284569000,635008000,250814000,267968000,249103000
IncomeLossFromEquityMethodInvestments,20235000,4693000,4947000,65646000,18844000
InterestExpenseDebt,195712000,180866000,155900000,186267000,202706000
OtherNonoperatingIncomeExpense,-12336000,17759000,-6933000,15085000,6274000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,96756000,476594000,92928000,162432000,71515000
IncomeTaxExpenseBenefit,879000,2106000,349000,1439000,2545000
ProfitLoss,95877000,474488000,92579000,160993000,68970000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,6246000,30104000,5613000,10873000,4543000
NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,46000,31000,42000,104000,161000
NetIncomeLoss,89585000,444353000,86924000,150016000,64266000
DividendsPreferredStock,4835000,4848000,4412000,4229000,4230000
NetIncomeLossAvailableToCommonStockholdersBasic,84750000,439505000,82512000,145787000,60036000
EarningsPerShareBasic,0.26,1.34,0.26,0.49,0.20
EarningsPerShareDiluted,0.26,1.34,0.26,0.48,0.20
WeightedAverageNumberOfSharesOutstandingBasic,329290000,328765000,321671000,300326000,294545000
WeightedAverageNumberOfDilutedSharesOutstanding,330116000,329104000,322700000,301703000,294927000
