key,2024-03-31,2024-02-29,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,5394000,,,-3626000,
DepreciationDepletionAndAmortization,174174000,,,172949000,
GainsLossesOnSalesOfInvestmentRealEstate,16867000,16900000,,1000,
IncomeLossFromEquityMethodInvestments,9085000,,,9707000,
ReturnOnInvestmentInEquityMethodInvestments,4596000,,,4317000,
ShareBasedCompensation,7258000,,,8246000,
OtherOperatingActivitiesCashFlowStatement,10377000,,,7690000,
IncreaseDecreaseInOperatingAssets,-1447000,,,7119000,
IncreaseDecreaseInOperatingLiabilities,-50611000,,,-41285000,
NetCashProvidedByUsedInOperatingActivities,167599000,,,168015000,
ProceedsFromSaleOfRealEstateHeldforinvestment,98650000,,,,
PaymentsToDevelopRealEstateAssets,30595000,,,42498000,
PaymentsForCapitalImprovements,52563000,,,54353000,
PaymentsToAcquireFurnitureAndFixtures,4583000,,,4532000,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,1105000,,,1821000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,4289000,,,3108000,
ProceedsFromSaleOfEquitySecuritiesFvNi,4624000,,,,
PaymentsForDepositsOnPendingAcquisitions,,,,-743000,
PaymentsForProceedsFromLoansReceivable,270000,,,16501000,
NetCashProvidedByUsedInInvestingActivities,18447000,,,-117340000,
RepaymentsOfSecuredDebt,40749000,,,292000,
ProceedsFromRepaymentsOfCommercialPaper,-18075000,,,105000000,
ProceedsFromRepaymentsOfLinesOfCredit,22467000,,,-14244000,
PaymentsOfDividendsMinorityInterest,10452000,,,8178000,
PaymentsOfDividendsPreferredStockAndPreferenceStock,1210000,,,1097000,
PaymentsOfDividendsCommonStock,138247000,,,125083000,
ProceedsFromPaymentsForOtherFinancingActivities,-2680000,,,-7765000,
NetCashProvidedByUsedInFinancingActivities,-188946000,,,-51659000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,-2900000,,,-984000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,31966000,,34866000,29210000,30194000
InterestPaidNet,69197000,,,64707000,
ProceedsFromLeasePayments,3126000,,,3126000,
IncomeTaxesPaidNet,-51000,,,206000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,,,,6989000,
CapitalExpendituresIncurredButNotYetPaid,34728000,,,35524000,
ConversionOfStockAmountConverted1,7288000,,,386000,
DistributionOfEquitySecuritiesFromUnconsolidatedInvestments,,,,7749000,
DividendsPayableCurrentAndNoncurrent,151512000,,149600000,148409000,
