key,2024-03-31,2024-02-29,2023-12-31,2023-03-31,2022-12-31
OperatingLeaseLeaseIncome,411669000,,,398307000,
RevenueFromContractWithCustomerExcludingAssessedTax,2000000.0,,,1200000,
Revenues,76256000,,,60675000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,34935000,,,28033000,
RealEstateTaxesAndInsurance,58795000,,,57970000,
PropertyManagementCostsOperating,13379000,,,12945000,
OtherCostAndExpenseOperating,6828000,,,3032000,
DepreciationNonproduction,36962000,,,24428000,
GeneralAndAdministrativeExpense,17810000,,,17480000,
CasualtyRelatedRecoveriesChargesNet,6278000,,,4156000,
OtherDepreciationAndAmortization,4316000,,,3649000,
CostsAndExpenses,350742000,,,333366000,
GainsLossesOnSalesOfInvestmentRealEstate,16867000,16900000,,1000,
OperatingIncomeLoss,4359000,,,8214000,
IncomeLossFromEquityMethodInvestments,9085000,,,9707000,
InterestExpenseDebt,24537000,,,23951000,
OtherNonoperatingIncomeExpense,-1828000,,,2322000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,46647000,,,33159000,
IncomeTaxExpenseBenefit,337000,,,234000,
ProfitLoss,5394000,,,-3626000,
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,3149000,,,1953000,
NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,100000,,,100000,
NetIncomeLoss,43149000,,,30964000,
DividendsPreferredStock,1231000,,,1183000,
NetIncomeLossAvailableToCommonStockholdersBasic,41918000,,,29781000,
EarningsPerShareBasic,0.13,,,0.09,
EarningsPerShareDiluted,0.13,,,0.09,
WeightedAverageNumberOfSharesOutstandingBasic,328823000,,,328789000,
WeightedAverageNumberOfDilutedSharesOutstanding,328954000,,,329421000,
