key,2025-03-31,2025-01-31,2024-12-31,2024-03-31,2023-12-31
RealEstateInvestmentPropertyAtCost,16022078000,,15994794000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,6996685000,,6836920000,,
RealEstateHeldForInvestmentNetExcludingRealEstateUnderDevelopmentOrHeldForDisposition,9025393000,,9157874000,,
DevelopmentInProcess,20067000,,,,
RealEstateHeldForSaleNetofDepreciation,,,154463000,,
RealEstateInvestmentPropertyNet,3365164000,,3114375000,,
CashAndCashEquivalentsAtCarryingValue,66143000,,47932000,2116000,2922000
RestrictedCashAndCashEquivalents,32071000,,34101000,29850000,31944000
NotesReceivableNet,365833000,,247849000,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVenturesFairValueDisclosure,397277000,,372478000,,
OperatingLeaseRightOfUseAsset,186100000,,187000000,,
OtherAssets,147221000,,147344000,,
Assets,3975805000,,3682129000,,
SecuredDebt,1137826000,,1139331000,,
UnsecuredDebt,4673383000,,4687634000,,
OperatingLeaseLiability,181359000,,182300000,,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,36646000,,46403000,,
InterestPayableCurrentAndNoncurrent,28055000,,52631000,,
AdvanceRent,52266000,,61592000,,
DividendsPayableCurrentAndNoncurrent,153756000,,151720000,151512000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,163429000,,158505000,,
Liabilities,2413249000,,2218640000,,
CommitmentsAndContingencies,,,,,
RedeemableNoncontrollingInterestEquityCommonCarryingAmount,1057474000,,1017355000,,
PreferredStockValue,1000,,1000,,
CommonStockValue,3312000,,3309000,,
AdditionalPaidInCapital,7575098000,,7572480000,,
AccumulatedDistributionsInExcessOfNetIncome,4293032000,,4179415000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2473000,,3638000,,
StockholdersEquity,3331044000,,3443205000,,
MinorityInterest,335000,,335000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1562556000,,1463489000,3919278000,3991354000
LiabilitiesAndStockholdersEquity,10745412000,,10897586000,,
