key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,1227600000,780400000,260600000,439100000,534600000
AccountsReceivableNetCurrent,2362700000,2185200000,1888800000,1536400000,
InventoryNet,1244400000,884300000,822000000.0,616300000,
OtherAssetsCurrent,267100000,151600000,187300000,106800000,
AssetsCurrent,5101800000,4001500000,3158700000,2698600000,
PropertyPlantAndEquipmentNet,625100000,560100000,489400000,489300000,
Goodwill,1321100000,1330300000,1284700000,1330100000,359200000
IntangibleAssetsNetExcludingGoodwill,1487100000,1672900000,1816100000,2138200000,
DeferredIncomeTaxAssetsNet,303300000,159800000,46400000,47900000,
OperatingLeaseRightOfUseAsset,202100000,173500000,166400000,152900000,
OtherAssetsNoncurrent,92000000.0,100400000,134000000.0,82600000,
NonCurrentAssetsExcludingPropertyPlantAndEquipmentNet,3405600000,3436900000,3447600000,3751700000,
Assets,9132500000,7998500000,7095700000,6939600000,
LongTermDebtCurrent,21000000.0,21800000,21800000,21800000,
AccountsPayableCurrent,1316400000,986400000,984000000.0,858500000,
AccruedLiabilitiesCurrent,612600000,611800000,872400000,953400000,
AccruedIncomeTaxesCurrent,83700000,46500000,19700000,21100000,
LiabilitiesCurrent,3097000000,2305400000,1897900000,1854800000,
LongTermDebtNoncurrent,2907200000,2919100000,3169100000,2950500000,
DeferredIncomeTaxLiabilitiesNet,240300000,159500000,176500000,198800000,
WarrantAndRightsOutstandingNoncurrent,0,195000000.0,58700000,149600000,
OperatingAndFinanceLeaseLiabilityNoncurrent,171400000,142600000,132000000.0,115500000,
OtherLiabilitiesNoncurrent,282300000,262000000.0,219600000,252700000,
Liabilities,6698200000,5983600000,5653800000,5521900000,
PreferredStockValue,0,0,0,0,
CommonStockValue,0,0,0,0,
AdditionalPaidInCapital,2821400000,2711300000,2630700000,2597500000,
RetainedEarningsAccumulatedDeficit,-238300000,-691900000,-1142600000,-1215400000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-148800000,-4500000,-46200000,35600000,
StockholdersEquity,2434300000,2014900000,1441900000,1417700000,0
LiabilitiesAndStockholdersEquity,9132500000,7998500000,7095700000,6939600000,
ContractWithCustomerLiabilityCurrent,1063300000,638900000,358700000,,
