key,2024,2023,2022,2021,2020
NetIncomeLoss,495800000,460200000,76600000,119600000,-327300000
Depreciation,81600000,74300000,72000000.0,69100000,60300000
AmortizationOfIntangibleAssets,195400000,196700000,230400000,157900000,142800000
DeferredIncomeTaxesAndTaxCredits,-54500000,-131600000,-8600000,-69800000,-1400000
AmortizationOfFinancingCostsAndDiscounts,7000000.0,7900000,7500000,6300000,10500000
GainsLossesOnExtinguishmentOfDebt,,,0,-400000,-174000000.0
GainLossOnTaxReceivableAgreement,,0,0,59200000,0
FairValueAdjustmentOfWarrants,449200000,157900000,-90900000,61900000,143700000
NonCashAssetImpairmentCharges,,0,0,8700000,21000000.0
ShareBasedCompensation,34600000,25000000.0,24700000,23200000,13000000.0
PaymentForContingentConsiderationLiabilityOperatingActivities,0,0,8700000,0,0
GainLossOnSaleOfPropertyPlantEquipment,0,0,3700000,0,0
IncreaseDecreaseInTaxReceivableAgreement,,0,0,7700000,21300000
IncreaseDecreaseInOperatingCapital,-114100000,-66700000,449200000,132800000,60800000
OtherOperatingActivitiesCashFlowStatement,-3900000,43400000,-2900000,17900000,11800000
NetCashProvidedByUsedInOperatingActivities,1319300000,900500000,-152800000,210900000,208900000
PaymentsToAcquirePropertyPlantAndEquipment,167000000.0,127900000,100000000.0,73400000,44400000
PaymentsForSoftware,17100000,6700000,11000000.0,11200000,8300000
ProceedsFromSaleOfPropertyPlantAndEquipment,0,12400000,3900000,9800000,7000000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,17600000,28800000,5000000.0,1163700000,0
ProceedsFromDivestitureOfBusinesses,0,11900000,0,21700000,0
NetCashProvidedByUsedInInvestingActivities,-201700000,-139100000,-112100000,-1216800000,-45700000
ProceedsFromRevolvingCreditFacilityAndShortTermBorrowings,270000000.0,224900000,790800000,0,346200000
RepaymentsOfRevolvingCreditFacilityAndShortTermBorrowings,270000000.0,459900000,555800000,0,493700000
ProceedsFromNotesPayable,,0,0,850000000.0,2189000000
RepaymentsOfSeniorDebt,21100000,27100000,16400000,21800000,3456500000
PaymentsForEarlyPaymentOfNotesRedemptionPremium,,,0,0,75000000.0
PaymentsOfDebtIssuanceCosts,0,0,600000,13800000,11200000
ProceedsFromIssuanceOfCommonStock,,,0,0,1832500000
PaymentToVertivStockholder,,,0,0,341600000
PaymentOfTaxReceivableAgreement,0,0,100000000.0,0,0
PaymentForContingentConsiderationLiabilityFinancingActivities,0,0,12800000,0,0
PaymentsOfDividends,42200000,9500000,3800000,3800000,3300000
ProceedsFromWarrantExercises,,0,0,107500000,156500000
ProceedsFromStockOptionsExercised,33000000.0,27400000,3100000,4100000,0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,21900000,3300000,4300000,7300000,0
ProceedsFromPaymentsForOtherFinancingActivities,,,0,0,-2200000
NetCashProvidedByUsedInFinancingActivities,-652100000,-247500000,100200000,914900000,140700000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-21900000,1500000,-9200000,-4500000,5000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,443600000,515400000,-173900000,-95500000,308900000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1232200000,788600000,273200000,447100000,542600000
IncreaseDecreaseInAccountsReceivable,280300000,272500000,375800000,117400000,114800000
IncreaseDecreaseInInventories,369300000,54000000.0,211400000,125700000,38500000
IncreaseDecreaseInOtherCurrentAssets,63700000,0,28800000,-2100000,-7800000
IncreaseDecreaseInAccountsPayable,343100000,-17700000,132800000,105100000,78200000
IncreaseDecreaseInAccruedLiabilities,7000000.0,91500000,45600000,11900000,13300000
IncreaseDecreaseInAccruedIncomeTaxesPayable,42800000,45200000,-11600000,-8800000,-6800000
InterestPaidNet,155500000,176700000,132800000,75100000,167000000.0
IncomeTaxesPaidNet,272500000,153000000.0,104600000,97300000,64700000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,7000000.0,2900000,4300000,700000,5400000
CapitalExpendituresIncurredButNotYetPaid,0,0,12200000,0,0
IncreaseDecreaseInContractWithCustomerLiability,434500000,274200000,67600000,55300000,
PaymentsForRepurchaseOfCommonStock,599900000,0,0,,
