key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,6393500000,5406100000,4335300000,3694600000,3068700000
CostOfGoodsAndServicesSold,4099400000,3575700000,3219100000,2699700000,2154900000
SellingGeneralAndAdministrativeExpense,1374000000,1312300000,1178300000,1109000000,1008400000
AmortizationOfIntangibleAssetsExcludingCostsOfSales,184200000,181300000,215800000,144300000,128700000
RestructuringCharges,5300000,28600000,700000,1400000,73900000
ForeignCurrencyTransactionGainLossBeforeTax,-9300000,-16000000.0,-3700000,-3200000,-26000000.0
AssetImpairmentCharges,,0,0,8700000,21700000
OtherOperatingIncomeExpenseNet,6000000.0,9900000,5800000,3800000,-1500000
OperatingIncomeLoss,1367400000,872200000,223400000,259900000,213500000
InterestExpense,150400000,180100000,147300000,90600000,150400000
GainsLossesOnExtinguishmentOfDebt,-2400000,-500000,0,-400000,-174000000.0
GainLossOnTaxReceivableAgreement,,0,0,59200000,0
FairValueAdjustmentOfWarrants,449200000,157900000,-90900000,61900000,143700000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,765400000,533700000,167000000.0,166200000,-254600000
IncomeTaxExpenseBenefit,269600000,73500000,90400000,46600000,72700000
NetIncomeLoss,495800000,460200000,76600000,119600000,-327300000
EarningsPerShareBasic,1.32,1.21,0.20,0.34,-1.07
EarningsPerShareDiluted,1.28,1.19,-0.04,0.33,-1.07
WeightedAverageNumberOfSharesOutstandingBasic,376418933,380144059,376730519,355544632,307076397
WeightedAverageNumberOfDilutedSharesOutstanding,386325058,386226267,378224051,360140323,307076397
