key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
CashAndCashEquivalentsAtCarryingValue,1467300000,1227600000,,
AccountsReceivableNetCurrent,2310500000,2362700000,,
InventoryNet,1383500000,1244400000,,
OtherAssetsCurrent,300400000,267100000,,
AssetsCurrent,5461700000,5101800000,,
PropertyPlantAndEquipmentNet,637400000,625100000,,
Goodwill,1339800000,1321100000,,
IntangibleAssetsNetExcludingGoodwill,1462700000,1487100000,,
DeferredIncomeTaxAssetsNet,269200000,303300000,,
OperatingLeaseRightOfUseAsset,203700000,202100000,,
OtherAssetsNoncurrent,76600000,92000000.0,,
NonCurrentAssetsExcludingPropertyPlantAndEquipmentNet,3352000000,3405600000,,
Assets,1229100000,1117200000,,
LongTermDebtCurrent,21000000.0,21000000.0,,
AccountsPayableCurrent,1407100000,1316400000,,
ContractWithCustomerLiabilityCurrent,1095100000,1063300000,,
AccruedLiabilitiesCurrent,534200000,612600000,,
AccruedIncomeTaxesCurrent,126600000,83700000,,
LiabilitiesCurrent,3184000000,3097000000,,
LongTermDebtNoncurrent,2904100000,2907200000,,
DeferredIncomeTaxLiabilitiesNet,238400000,240300000,,
OperatingAndFinanceLeaseLiabilityNoncurrent,172200000,171400000,,
OtherLiabilitiesNoncurrent,286000000.0,282300000,,
Liabilities,6784700000,6698200000,,
PreferredStockValue,0,0,,
CommonStockValue,0,0,,
AdditionalPaidInCapital,2829600000,2821400000,,
RetainedEarningsAccumulatedDeficit,-88000000.0,-238300000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-75200000,-148800000,,
StockholdersEquity,-6400000,-12600000,2600000,0
LiabilitiesAndStockholdersEquity,9451100000,9132500000,,
