key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
NetIncomeLoss,164500000,,-5900000,
Depreciation,22900000,,19800000,
AmortizationOfIntangibleAssets,-46000000.0,,-46000000.0,
DeferredIncomeTaxesAndTaxCredits,33300000,,-7600000,
AmortizationOfFinancingCostsAndDiscounts,2200000,,2100000,
FairValueAdjustmentOfWarrants,0,,176600000,
IncreaseDecreaseInOperatingCapital,4800000,,99700000,
ShareBasedCompensation,11200000,,9200000,
OtherOperatingActivitiesCashFlowStatement,25300000,,-5900000,
NetCashProvidedByUsedInOperatingActivities,303300000,,137500000,
PaymentsToAcquirePropertyPlantAndEquipment,4600000,,1000000.0,
PaymentsForSoftware,2300000,,700000,
NetCashProvidedByUsedInInvestingActivities,-38800000,,-36500000,
ProceedsFromRevolvingCreditFacilityAndShortTermBorrowings,0,,190000000.0,
RepaymentsOfRevolvingCreditFacilityAndShortTermBorrowings,0,,190000000.0,
RepaymentsOfSeniorDebt,5300000,,5300000,
PaymentsOfDividends,14200000,,9300000,
PaymentsForRepurchaseOfCommonStock,0,,599900000,
ProceedsFromStockOptionsExercised,1300000,,14400000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,6700000,,3000000.0,
NetCashProvidedByUsedInFinancingActivities,-24900000,,-603100000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,4300000,,-6000000.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,243900000,,-508100000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1476100000,1232200000,280500000,788600000
IncreaseDecreaseInAccountsReceivable,-81600000,,-9900000,
IncreaseDecreaseInInventories,128600000,,106500000,
IncreaseDecreaseInOtherCurrentAssets,29500000,,31700000,
IncreaseDecreaseInAccountsPayable,86500000,,9800000,
IncreaseDecreaseInContractWithCustomerLiability,23400000,,100000000.0,
IncreaseDecreaseInAccruedLiabilities,-79600000,,-68500000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,41400000,,-12700000,
