key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,324421000,395076000,480529000,501234000,436695000
ShortTermInvestments,934000,898000,862000,68051000,6451000
AccountsReceivableNetCurrent,733365000,702168000,722892000,612648000,573316000
InventoryNet,477261000,516236000,455710000,356095000,304281000
OtherAssetsCurrent,133130000,138489000,103910000,90914000,80290000
AssetsCurrent,1669111000,1752867000,1763903000,1628942000,1401033000
PropertyPlantAndEquipmentNet,651200000,639073000,582217000,547913000,494003000
IntangibleAssetsNetExcludingGoodwill,567906000,629187000,227399000,242401000,258645000
Goodwill,1295720000,1305446000,430328000,437865000,444362000
OperatingLeaseRightOfUseAsset,74193000,84591000,86506000,84734000,93252000
OtherAssetsNoncurrent,295665000,215690000,191100000,153077000,148625000
Assets,4553795000,4626854000,3281453000,3094932000,2839920000
NotesPayableCurrent,0,50000000,50000000,0,150000000
AccountsPayableCurrent,99931000,84705000,93302000,96799000,72212000
EmployeeRelatedLiabilitiesCurrent,93969000,69391000,103300000,101192000,72166000
RevenueRemainingPerformanceObligation,250807000,256675000,227908000,227561000,198240000
OperatingLeaseLiabilityCurrent,25537000,27825000,26429000,27906000,27764000
AccruedIncomeTaxesCurrent,158658000,120257000,132545000,61278000,76558000
StandardProductWarrantyAccrualCurrent,11602000,12050000,11949000,10718000,10950000
OtherLiabilitiesCurrent,149254000,168677000,140304000,155054000,197093000
LiabilitiesCurrent,789758000,789580000,785737000,680508000,804983000
LongTermDebtNoncurrent,1626488000,2305513000,1524878000,1513870000,1206515000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,44611000,47559000,38203000,64027000,72620000
AccruedIncomeTaxesNoncurrent,30318000,137123000,248496000,319547000,357493000
OperatingLeaseLiabilityNoncurrent,50317000,58926000,62108000,59623000,68197000
OtherLiabilitiesNoncurrent,183796000,137812000,117543000,89803000,97968000
LiabilitiesNoncurrent,1935530000,2686933000,1991228000,2046870000,1802793000
Liabilities,2725288000,3476513000,2776965000,2727378000,2607776000
PreferredStockValue,0,0,0,0,0
CommonStockValue,1630000,1627000,1624000,1621000,1617000
AdditionalPaidInCapitalCommonStock,2341298000,2266265000,2199824000,2114880000,2029465000
RetainedEarningsAccumulatedDeficit,9788655000,9150821000,8508587000,7800832000,7107989000
TreasuryStockValue,10147793000,10134252000,10063975000,9437914000,8788984000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-155283000,-134120000,-141572000,-111865000,-117943000
StockholdersEquity,1828507000,1150341000,504488000,367554000,232144000
LiabilitiesAndStockholdersEquity,4553795000,4626854000,3281453000,3094932000,2839920000
