key,2024,2023,2022,2021,2020
ProfitLoss,637834000,642234000,707755000,692843000,521571000
ShareBasedCompensation,44709000,36868000,42564000,29918000,36865000
DeferredIncomeTaxExpenseBenefit,-877000,-1197000,-31988000,16633000,-2693000
Depreciation,87018000,84625000,71998000,71560000,68685000
AdjustmentForAmortization,104807000,81280000,58425000,60120000,56676000
AssetImpairmentCharges,,,0,0,6945000
IncreaseDecreaseInAccountsReceivable,66240000,-49179000,137874000,62448000,-37467000
IncreaseDecreaseInInventories,-20943000,45443000,101902000,67250000,-18940000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,9537000,43164000,23074000,20765000,27030000
IncreaseDecreaseInOtherOperatingAssets,-4654000,26264000,5514000,-4490000,37865000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,61585000,-79524000,60984000,46110000,140598000
ContractWithCustomerAssetIncreaseDecreaseForContractAcquiredInBusinessCombination,6165000,10433000,12862000,37845000,11073000
IncreaseDecreaseInOtherOperatingLiabilities,-128938000,-105476000,-52578000,-52075000,-40725000
NetCashProvidedByUsedInOperatingActivities,762123000,602809000,611661000,747274000,790507000
PaymentsForProceedsFromProductiveAssets,142481000,160632000,175921000,161266000,172384000
PaymentsToAcquireBusinessesNetOfCashAcquired,0,1282354000,0,0,80545000
PaymentsToAcquireUnaffiliatedCompanies,,,,,6143000
PaymentsToAcquireInvestments,3729000,1791000,11407000,279660000,25884000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,3676000,1770000,77993000,218084000,20862000
NetCashProvidedByUsedInInvestingActivities,-144023000,-1442265000,-107967000,-231630000,-264094000
ProceedsFromIssuanceOfLongTermDebt,170000000,1450040000,205000000,510000000,315000000
RepaymentsOfLongTermDebt,900000000,670040000,145000000,350000000,640366000
PaymentsOfDebtIssuanceCosts,0,400000,0,8537000,0
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,30366000,29792000,42801000,55643000,66033000
PaymentsForRepurchaseOfCommonStock,13541000,70277000,626061000,648930000,196409000
PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,-16500000,-15836000,-13627000,-3549000,-15240000
NetCashProvidedByUsedInFinancingActivities,-696675000,754951000,-509633000,-438275000,-440502000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,7920000,-948000,-14766000,-12830000,15069000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-70655000,-85453000,-20705000,64539000,100980000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,324421000,395076000,480529000,501234000,436695000
IncomeTaxesPaidNet,183341000,243316000,160082000,153504000,97621000
InterestPaidNet,92096000,94099000,48083000,42408000,52103000
UnrealizedGainLossOnInvestments,,0,0,9707000,0
Researchanddevelopmentinprocessandnoncashitems,0,0,10003000,0,0
ProceedsPaymentsOfEquityInvestments,-1489000,742000,8903000,-1788000,-6143000
PaymentsForIntellectualPropertyLicenses,0,0,7535000,7000000,
RealizedInvestmentGainsLosses,0,742000,0,0,
