key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,1844176000,1903050000,1988169000,1822070000,1497333000
CostOfGoodsAndServicesSold,747920000,766374000,836209000,752514000,638033000
SellingGeneralAndAdministrativeExpense,690148000,736014000,658026000,626968000,553698000
ResearchAndDevelopmentExpense,183027000,174945000,176190000,168358000,140777000
AmortizationOfAcquisitionCosts,47090000,32558000,6366000,7143000,10587000
AssetImpairmentCharges,,,0,0,6945000
GainLossRelatedToLitigationSettlement,-11568000,0,0,-5165000,-1180000
CostsAndExpenses,2132034000,2138740000,2098561000,1964167000,1719876000
OperatingIncomeLoss,826353000,817676000,873395000,821707000,645489000
OtherNonoperatingIncomeExpense,776000,807000,2228000,17203000,-1775000
InterestExpense,89677000,98861000,48797000,44938000,49070000
InvestmentIncomeInterest,17416000,16621000,11020000,12221000,16270000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,754868000,736243000,837846000,806193000,610914000
IncomeTaxExpenseBenefit,117034000,94009000,130091000,113350000,89343000
NetIncomeLossAvailableToCommonStockholdersBasic,637834000,642234000,707755000,692843000,521571000
EarningsPerShareBasic,10.75,10.87,11.8,11.25,8.40
WeightedAverageNumberOfSharesOutstandingBasic,59333000,59076000,59985000,61575000,62094000
EarningsPerShareDiluted,10.71,10.84,11.73,11.17,8.36
WeightedAverageNumberOfDilutedSharesOutstanding,59552000,59270000,60331000,62028000,62414000
AcquiredInProcessResearchAndDevelopment,0,0,9797000,,
