key,2024-03-31,2024-03-30,2023-12-31,2023-04-01,2022-12-31
CashAndCashEquivalentsAtCarryingValue,,337290000,395076000,,
ShortTermInvestments,,923000,898000,,
AccountsReceivableNetCurrent,,626329000,702168000,,
InventoryNet,,538634000,516236000,,
OtherAssetsCurrent,,139782000,138489000,,
AssetsCurrent,,1642958000,1752867000,,
PropertyPlantAndEquipmentNet,,633594000,639073000,,
IntangibleAssetsNetExcludingGoodwill,,611147000,629187000,,
Goodwill,,1300000000,1300000000,,
OperatingLeaseRightOfUseAsset,,81065000,84591000,,
OtherAssetsNoncurrent,,242374000,215690000,,
Assets,,4508964000,4626854000,,
NotesPayableCurrent,,50000000,50000000,,
AccountsPayableCurrent,,86219000,84705000,,
EmployeeRelatedLiabilitiesCurrent,,65098000,69391000,,
RevenueRemainingPerformanceObligation,,28165000,256675000,,
OperatingLeaseLiabilityCurrent,,26879000,27825000,,
AccruedIncomeTaxesCurrent,,120520000,120257000,,
StandardProductWarrantyAccrualCurrent,,10853000,12050000,12311000,11949000
OtherLiabilitiesCurrent,,152172000,168677000,,
LiabilitiesCurrent,,848459000,789580000,,
LongTermDebtNoncurrent,2005761000,2005761000,1300000000,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,,48977000,47559000,,
AccruedIncomeTaxesNoncurrent,,137439000,137123000,,
OperatingLeaseLiabilityNoncurrent,,55927000,58926000,,
OtherLiabilitiesNoncurrent,,155876000,137812000,,
LiabilitiesNoncurrent,,2403980000,2686933000,,
Liabilities,,3252439000,3476513000,,
CommitmentsAndContingencies,,,,,
PreferredStockValue,,0,0,,
CommonStockValue,,1629000,1627000,,
AdditionalPaidInCapitalCommonStock,,2291103000,2266265000,,
RetainedEarningsAccumulatedDeficit,,9253017000,9150821000,,
TreasuryStockValue,,10147341000,10134252000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-141883000,-134120000,,
StockholdersEquity,,-658000,-2260000,599823000,504488000
LiabilitiesAndStockholdersEquity,,4508964000,4626854000,,
