key,2024-03-31,2024-03-30,2023-12-31,2023-04-01,2022-12-31
ProfitLoss,,102196000,,140923000,
ShareBasedCompensation,,10913000,,12805000,
DeferredIncomeTaxExpenseBenefit,,4453000,,-5078000,
Depreciation,,22129000,,19411000,
AdjustmentForAmortization,,26385000,,11743000,
IncreaseDecreaseInAccountsReceivable,,-62592000,,-44047000,
IncreaseDecreaseInInventories,,28309000,,42621000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,4707000,,2123000,
IncreaseDecreaseInOtherOperatingAssets,,-7369000,,-6662000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-18418000,,-71257000,
ContractWithCustomerAssetIncreaseDecreaseForContractAcquiredInBusinessCombination,,85901000,,77206000,
IncreaseDecreaseInOtherOperatingLiabilities,,-7634000,,5033000,
NetCashProvidedByUsedInOperatingActivities,,262870000,,196751000,
PaymentsForProceedsFromProductiveAssets,,28655000,,34390000,
PaymentsToEquityInvestment,,1064000,,0,
PaymentsToAcquireInvestments,,923000,,893000,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,898000,,877000,
NetCashProvidedByUsedInInvestingActivities,,-29744000,,-34406000,
ProceedsFromIssuanceOfLongTermDebt,,0,,50040000,
RepaymentsOfLongTermDebt,,300000000,,145000000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,13932000,,2378000,
PaymentsForRepurchaseOfCommonStock,,13089000,,69505000,
PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,,-6981000,,-2876000,
NetCashProvidedByUsedInFinancingActivities,,-292176000,,-159211000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,1264000,,2407000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-57786000,,5541000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,337290000,395076000,486070000,480529000
