key,2024-03-31,2024-03-30,2023-12-31,2023-04-01,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,,636839000,,684674000,
CostOfGoodsAndServicesSold,,108604000,,104026000,
SellingGeneralAndAdministrativeExpense,,174536000,,181956000,
ResearchAndDevelopmentExpense,,44595000,,42691000,
AmortizationOfAcquisitionCosts,,11834000,,1479000,
GainLossRelatedToLitigationSettlement,,-10242000,,0,
CostsAndExpenses,,502993000,,510506000,
OperatingIncomeLoss,,133846000,,174168000,
OtherNonoperatingIncomeExpense,,2259000,,1388000,
InterestExpense,,25520000,,14444000,
InvestmentIncomeInterest,,4271000,,4061000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,114856000,,165173000,
IncomeTaxExpenseBenefit,,1000000,,2000000,
NetIncomeLossAvailableToCommonStockholdersBasic,,102196000,,140923000,
EarningsPerShareBasic,,1.73,,2.39,
WeightedAverageNumberOfSharesOutstandingBasic,,59232000,,59023000,
EarningsPerShareDiluted,,1.72,,2.38,
WeightedAverageNumberOfDilutedSharesOutstanding,,59431000,,59317000,
