key,2024-06-29,2024-03-30,2023-12-31,2023-07-01,2023-04-01,2022-12-31
CashAndCashEquivalentsAtCarryingValue,326427000,,395076000,,,
ShortTermInvestments,934000,,898000,,,
AccountsReceivableNetCurrent,610088000,,702168000,,,
InventoryNet,522927000,,516236000,,,
OtherAssetsCurrent,143307000,,138489000,,,
AssetsCurrent,1603683000,,1752867000,,,
PropertyPlantAndEquipmentNet,636110000,,639073000,,,
IntangibleAssetsNetExcludingGoodwill,596398000,,629187000,,,
Goodwill,1300000000,,1300000000,,,
OperatingLeaseRightOfUseAsset,81124000,,84591000,,,
OtherAssetsNoncurrent,233936000,,215690000,,,
Assets,4449047000,,4626854000,,,
NotesPayableCurrent,0,,50000000,,,
AccountsPayableCurrent,78436000,,84705000,,,
EmployeeRelatedLiabilitiesCurrent,56037000,,69391000,,,
RevenueRemainingPerformanceObligation,24737000,,256675000,,,
OperatingLeaseLiabilityCurrent,26367000,,27825000,,,
AccruedIncomeTaxesCurrent,134265000,,120257000,,,
StandardProductWarrantyAccrualCurrent,10437000,,12050000,12409000,,11949000
OtherLiabilitiesCurrent,140057000,,168677000,,,
LiabilitiesCurrent,762532000,,789580000,,,
LongTermDebtNoncurrent,1300000000,,1300000000,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,48582000,,47559000,,,
AccruedIncomeTaxesNoncurrent,17587000,,137123000,,,
OperatingLeaseLiabilityNoncurrent,56346000,,58926000,,,
OtherLiabilitiesNoncurrent,146024000,,137812000,,,
LiabilitiesNoncurrent,2274548000,,2686933000,,,
Liabilities,3037080000,,3476513000,,,
CommitmentsAndContingencies,,,,,,
PreferredStockValue,0,,0,,,
CommonStockValue,1629000,,1627000,,,
AdditionalPaidInCapitalCommonStock,2310372000,,2266265000,,,
RetainedEarningsAccumulatedDeficit,9395754000,,9150821000,,,
TreasuryStockValue,10147586000,,10134252000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-148202000,,-134120000,,,
StockholdersEquity,-238000,1256525000,-2260000,771229000,599823000,504488000
LiabilitiesAndStockholdersEquity,4449047000,,4626854000,,,
