key,2024-09-28,2024-06-29,2023-12-31,2023-09-30,2023-07-01,2022-12-31
ProfitLoss,406436000,,,426029000,,
ShareBasedCompensation,32993000,,,32224000,,
DeferredIncomeTaxExpenseBenefit,-1967000,,,267000,,
Depreciation,64680000,,,62235000,,
AdjustmentForAmortization,78570000,,,55610000,,
RealizedInvestmentGainsLosses,0,,,651000,,
IncreaseDecreaseInAccountsReceivable,-27457000,,,-100327000,,
IncreaseDecreaseInInventories,2032000,,,81415000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1279000,,,24066000,,
IncreaseDecreaseInOtherOperatingAssets,18416000,,,23432000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,36485000,,,-130065000,,
ContractWithCustomerAssetIncreaseDecreaseForContractAcquiredInBusinessCombination,37972000,,,38959000,,
IncreaseDecreaseInOtherOperatingLiabilities,-141473000,,,-83335000,,
NetCashProvidedByUsedInOperatingActivities,521984000,,,372687000,,
PaymentsForProceedsFromProductiveAssets,90377000,,,119044000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,,1285907000,,
PaymentsToEquityInvestment,1489000,,,-651000,,
PaymentsToAcquireInvestments,2796000,,,1791000,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2752000,,,1770000,,
NetCashProvidedByUsedInInvestingActivities,-91910000,,,-1404321000,,
ProceedsFromIssuanceOfLongTermDebt,170000000,,,1450041000,,
RepaymentsOfLongTermDebt,700000000,,,520040000,,
PaymentsOfDebtIssuanceCosts,0,,,400000,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,25073000,,,18092000,,
PaymentsForRepurchaseOfCommonStock,13475000,,,70433000,,
PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,-15305000,,,-8178000,,
NetCashProvidedByUsedInFinancingActivities,-503097000,,,885438000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,8461000,,,2081000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-64562000,,,-144115000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,330514000,,395076000,336414000,,480529000
