key,2025-03-29,2024-12-31,2024-03-30,2023-12-31
ProfitLoss,121381000,,102196000,
ShareBasedCompensation,12878000,,10913000,
DeferredIncomeTaxExpenseBenefit,2305000,,4453000,
Depreciation,21723000,,22129000,
AdjustmentForAmortization,27646000,,26385000,
IncreaseDecreaseInAccountsReceivable,-33058000,,-62592000,
IncreaseDecreaseInInventories,25984000,,28309000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,479000,,4707000,
IncreaseDecreaseInOtherOperatingAssets,-12537000,,-7369000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-30004000,,-18418000,
ContractWithCustomerAssetIncreaseDecreaseForContractAcquiredInBusinessCombination,83015000,,85901000,
IncreaseDecreaseInOtherOperatingLiabilities,1477000,,-7634000,
NetCashProvidedByUsedInOperatingActivities,259553000,,262870000,
PaymentsForProceedsFromProductiveAssets,25742000,,28655000,
ProceedsPaymentsOfEquityInvestments,-506000,,-1064000,
PaymentsToAcquireInvestments,0,,923000,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,0,,898000,
NetCashProvidedByUsedInInvestingActivities,-26248000,,-29744000,
RepaymentsOfLongTermDebt,170000000,,300000000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,8246000,,13932000,
PaymentsForRepurchaseOfCommonStock,13934000,,13089000,
PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,-2441000,,-6981000,
NetCashProvidedByUsedInFinancingActivities,-173247000,,-292176000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-2541000,,1264000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,57517000,,-57786000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,382872000,325355000,337290000,395076000
