key,2025-03-29,2024-12-31,2024-03-30,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,661705000,,636839000,
CostOfGoodsAndServicesSold,108186000,,108604000,
SellingGeneralAndAdministrativeExpense,174881000,,174536000,
ResearchAndDevelopmentExpense,46622000,,44595000,
AmortizationOfAcquisitionCosts,11712000,,11834000,
GainLossRelatedToLitigationSettlement,0,,-10242000,
CostsAndExpenses,509960000,,502993000,
OperatingIncomeLoss,151745000,,133846000,
OtherNonoperatingIncomeExpense,1524000,,2259000,
InterestExpense,14270000,,25520000,
InvestmentIncomeInterest,3889000,,4271000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,142888000,,114856000,
IncomeTaxExpenseBenefit,2000000,,1000000,
NetIncomeLossAvailableToCommonStockholdersBasic,121381000,,102196000,
EarningsPerShareBasic,2.04,,1.73,
WeightedAverageNumberOfSharesOutstandingBasic,59439000,,59232000,
EarningsPerShareDiluted,2.03,,1.72,
WeightedAverageNumberOfDilutedSharesOutstanding,59711000,,59431000,
